iteration,loss,accuracy
0,2.56147,14.0625
1,3.60212,14.0625
2,2.64599,18.75
3,2.37092,20.3125
4,2.44484,12.5
5,2.53231,10.9375
6,2.36506,20.3125
7,2.36324,26.5625
8,2.40221,21.875
9,2.33801,31.25
10,2.36374,23.4375
11,2.34411,20.3125
12,2.40368,17.1875
13,2.42663,17.1875
14,2.42659,20.3125
15,2.37247,14.0625
16,2.37581,23.4375
17,2.38257,21.875
18,2.32827,28.125
19,2.34649,23.4375
20,2.37908,14.0625
21,2.37049,18.75
22,2.33359,17.1875
23,2.28189,28.125
24,2.4261,15.625
25,2.3322,21.875
26,2.47962,7.8125
27,2.36395,21.875
28,2.39314,18.75
29,2.36238,17.1875
30,2.32161,21.875
31,2.31517,23.4375
32,2.3897,15.625
33,2.33589,18.75
34,2.34524,20.3125
35,2.39223,23.4375
36,2.3733,20.3125
37,2.2947,18.75
38,2.3439,17.1875
39,2.4342,10.9375
40,2.28187,23.4375
41,2.34129,14.0625
42,2.35619,18.75
43,2.36836,14.0625
44,2.35401,17.1875
45,2.30517,20.3125
46,2.2907,26.5625
47,2.35574,18.75
48,2.30875,21.875
49,2.32906,17.1875
50,2.42813,7.8125
51,2.30118,23.4375
52,2.3764,15.625
53,2.423,14.0625
54,2.32868,21.875
55,2.29876,17.1875
56,2.38927,17.1875
57,2.40664,15.625
58,2.33115,18.75
59,2.37658,15.625
60,2.30688,20.3125
61,2.26263,28.125
62,2.33919,20.3125
63,2.29913,25.0
64,2.32017,18.75
65,2.32297,20.3125
66,2.33311,20.3125
67,2.28065,21.875
68,2.29455,21.875
69,2.2645,26.5625
70,2.29981,18.75
71,2.30193,20.3125
72,2.31835,18.75
73,2.3477,15.625
74,2.3273,20.3125
75,2.28499,20.3125
76,2.33813,12.5
77,2.33224,12.5
78,2.2497,23.4375
79,2.31028,20.3125
80,2.32188,18.75
81,2.2946,20.3125
82,2.26422,25.0
83,2.29511,17.1875
84,2.35156,10.9375
85,2.28385,20.3125
86,2.32254,21.875
87,2.31194,25.0
88,2.2827,20.3125
89,2.26765,23.4375
90,2.37299,18.75
91,2.24108,28.125
92,2.24729,21.875
93,2.24815,21.875
94,2.25996,20.3125
95,2.39216,14.0625
96,2.34907,18.75
97,2.2195,25.0
98,2.38479,7.8125
99,2.28723,20.3125
100,2.26537,21.875
101,2.31772,15.625
102,2.30421,12.5
103,2.37447,9.375
104,2.28197,18.75
105,2.26209,14.0625
106,2.3209,18.75
107,2.29395,15.625
108,2.24399,20.3125
109,2.29068,17.1875
110,2.2981,20.3125
111,2.24963,14.0625
112,2.35213,9.375
113,2.20064,26.5625
114,2.21907,21.875
115,2.19153,23.4375
116,2.22081,25.0
117,2.24667,26.5625
118,2.19905,18.75
119,2.18303,31.25
120,2.20916,18.75
121,2.25445,23.4375
122,2.11647,14.0625
123,2.14044,18.75
124,2.25555,18.75
125,2.12032,28.125
126,2.21779,31.25
127,2.09141,25.0
128,1.99366,29.6875
129,1.91677,29.6875
130,2.09245,20.3125
131,2.12835,28.125
132,2.31442,21.875
133,2.03434,32.8125
134,2.02777,28.125
135,2.09599,32.8125
136,2.07757,39.0625
137,2.12699,21.875
138,1.99513,29.6875
139,1.98004,35.9375
140,1.972,34.375
141,1.99246,34.375
142,1.972,32.8125
143,2.00265,34.375
144,2.13531,39.0625
145,2.20152,32.8125
146,2.02293,31.25
147,2.08097,26.5625
148,2.28806,34.375
149,2.06796,26.5625
150,1.88457,37.5
151,1.94029,39.0625
152,2.03134,34.375
153,2.11228,26.5625
154,1.86104,39.0625
155,1.83892,37.5
156,1.80436,39.0625
157,1.66956,53.125
158,1.77936,50.0
159,1.72542,42.1875
160,1.9489,28.125
161,1.56528,46.875
162,1.4705,54.6875
163,1.92442,40.625
164,2.05772,40.625
165,2.03633,42.1875
166,1.72458,42.1875
167,1.81694,43.75
168,1.93018,43.75
169,1.68401,53.125
170,1.79103,46.875
171,1.89287,35.9375
172,1.52948,57.8125
173,1.76409,45.3125
174,1.48709,46.875
175,1.93134,35.9375
176,1.87051,40.625
177,1.73836,40.625
178,1.67918,42.1875
179,1.76284,48.4375
180,2.0292,35.9375
181,1.53733,56.25
182,1.79832,43.75
183,1.75494,40.625
184,1.56013,43.75
185,1.53097,51.5625
186,1.73051,34.375
187,1.84772,39.0625
188,1.40707,57.8125
189,1.68022,45.3125
190,1.71972,51.5625
191,1.75956,50.0
192,1.55083,51.5625
193,1.68713,45.3125
194,1.51556,46.875
195,1.45992,59.375
196,1.63134,53.125
197,1.56919,46.875
198,1.57298,48.4375
199,1.33995,59.375
200,1.4025,59.375
201,1.49689,54.6875
202,1.51974,50.0
203,1.43561,54.6875
204,1.52807,46.875
205,1.42883,48.4375
206,1.61796,54.6875
207,1.5157,45.3125
208,1.67767,50.0
209,1.6172,48.4375
210,1.89992,39.0625
211,1.42354,50.0
212,1.51603,50.0
213,1.45429,48.4375
214,1.7869,39.0625
215,1.51638,51.5625
216,1.67142,48.4375
217,1.53485,43.75
218,1.45506,51.5625
219,1.37836,57.8125
220,1.2405,59.375
221,1.60941,46.875
222,1.61426,50.0
223,1.61272,48.4375
224,1.33175,59.375
225,1.6074,57.8125
226,1.72078,50.0
227,1.541,56.25
228,1.42978,54.6875
229,1.44522,50.0
230,1.48776,53.125
231,1.31079,59.375
232,1.52109,60.9375
233,1.37914,43.75
234,1.50736,53.125
235,1.58563,48.4375
236,1.32541,59.375
237,1.22843,60.9375
238,1.21777,65.625
239,1.67382,53.125
240,1.62495,43.75
241,1.2287,56.25
242,1.4355,53.125
243,1.43425,56.25
244,1.12212,71.875
245,1.32891,62.5
246,1.39939,54.6875
247,1.50837,48.4375
248,1.52791,45.3125
249,1.64603,48.4375
250,1.68741,48.4375
251,0.99802,64.0625
252,1.34087,53.125
253,1.35335,56.25
254,1.30773,57.8125
255,1.43387,53.125
256,1.59275,53.125
257,1.22079,56.25
258,1.79981,42.1875
259,1.47344,54.6875
260,1.44983,53.125
261,1.35709,59.375
262,1.44348,57.8125
263,1.48023,57.8125
264,1.37405,56.25
265,1.74211,48.4375
266,1.54872,42.1875
267,1.66708,48.4375
268,1.34181,54.6875
269,1.47878,43.75
270,1.28943,59.375
271,1.31937,60.9375
272,1.50555,59.375
273,1.30282,59.375
274,0.928821,70.3125
275,1.53925,50.0
276,1.32091,57.8125
277,1.45527,46.875
278,1.54598,53.125
279,1.49355,53.125
280,1.59812,43.75
281,1.62067,48.4375
282,1.59543,48.4375
283,1.15562,65.625
284,1.23201,62.5
285,1.32204,54.6875
286,1.23346,62.5
287,1.17209,51.5625
288,1.47423,56.25
289,1.30352,59.375
290,1.35181,57.8125
291,1.39051,59.375
292,1.28836,57.8125
293,1.2397,70.3125
294,1.24391,64.0625
295,1.52248,56.25
296,1.17232,62.5
297,1.27926,64.0625
298,1.15165,57.8125
299,1.7223,54.6875
300,1.15546,62.5
301,1.67427,51.5625
302,1.12797,65.625
303,1.54065,50.0
304,1.60129,51.5625
305,1.17976,67.1875
306,0.806956,81.25
307,1.39913,53.125
308,1.22144,64.0625
309,1.2306,59.375
310,1.3544,59.375
311,1.63719,53.125
312,1.51122,56.25
313,1.8738,43.75
314,1.7101,45.3125
315,1.42652,54.6875
316,1.22492,57.8125
317,1.64693,54.6875
318,1.1962,62.5
319,1.13585,65.625
320,1.33317,54.6875
321,1.76949,50.0
322,1.37354,65.625
323,1.22609,62.5
324,1.34933,62.5
325,1.23364,65.625
326,1.43203,62.5
327,1.32763,59.375
328,1.4413,48.4375
329,1.19141,64.0625
