iteration,loss,accuracy
0,2.8845,7.8125
1,2.52106,18.75
2,2.71889,9.375
3,2.63059,12.5
4,2.58245,15.625
5,2.63727,15.625
6,2.54021,14.0625
7,2.51862,7.8125
8,2.55683,15.625
9,2.35252,21.875
10,2.63021,14.0625
11,2.51847,17.1875
12,2.64755,9.375
13,2.50446,18.75
14,2.48586,12.5
15,2.45789,14.0625
16,2.37777,15.625
17,2.43296,21.875
18,2.40796,10.9375
19,2.46937,20.3125
20,2.57775,7.8125
21,2.54595,10.9375
22,2.54772,7.8125
23,2.33638,21.875
24,2.56242,9.375
25,2.3936,14.0625
26,2.6725,6.25
27,2.42891,14.0625
28,2.56422,9.375
29,2.45254,17.1875
30,2.45244,12.5
31,2.44945,12.5
32,2.46087,14.0625
33,2.44826,15.625
34,2.43972,14.0625
35,2.50907,18.75
36,2.53599,12.5
37,2.47065,14.0625
38,2.40386,15.625
39,2.60349,6.25
40,2.33512,23.4375
41,2.47402,17.1875
42,2.48098,10.9375
43,2.47201,15.625
44,2.60767,15.625
45,2.46929,9.375
46,2.42561,17.1875
47,2.4317,18.75
48,2.40095,9.375
49,2.37059,15.625
50,2.56588,10.9375
51,2.34234,26.5625
52,2.42551,10.9375
53,2.4765,17.1875
54,2.44741,14.0625
55,2.42304,12.5
56,2.55349,9.375
57,2.49224,7.8125
58,2.51159,9.375
59,2.50886,7.8125
60,2.45744,10.9375
61,2.47166,15.625
62,2.52305,9.375
63,2.41916,21.875
64,2.39887,17.1875
65,2.5782,14.0625
66,2.44239,18.75
67,2.32916,17.1875
68,2.4378,20.3125
69,2.43276,17.1875
70,2.39593,18.75
71,2.42301,15.625
72,2.48205,15.625
73,2.47326,14.0625
74,2.45667,15.625
75,2.41353,15.625
76,2.55636,7.8125
77,2.37476,20.3125
78,2.35526,20.3125
79,2.41264,14.0625
80,2.45159,10.9375
81,2.37084,18.75
82,2.36207,21.875
83,2.41772,15.625
84,2.36573,18.75
85,2.3312,23.4375
86,2.4134,25.0
87,2.41595,20.3125
88,2.46546,14.0625
89,2.41781,20.3125
90,2.56173,6.25
91,2.3467,18.75
92,2.38428,20.3125
93,2.41612,7.8125
94,2.46426,15.625
95,2.36812,23.4375
96,2.4736,10.9375
97,2.45805,18.75
98,2.48423,9.375
99,2.43639,12.5
100,2.28952,21.875
101,2.43288,10.9375
102,2.52925,10.9375
103,2.56974,10.9375
104,2.36234,12.5
105,2.44662,18.75
106,2.47171,9.375
107,2.46959,7.8125
108,2.35963,18.75
109,2.39106,20.3125
110,2.47667,18.75
111,2.43969,10.9375
112,2.45145,6.25
113,2.40429,20.3125
114,2.46308,14.0625
115,2.50043,7.8125
116,2.37033,14.0625
117,2.35745,28.125
118,2.45056,12.5
119,2.44323,17.1875
120,2.35609,23.4375
121,2.42424,21.875
122,2.35541,17.1875
123,2.35275,15.625
124,2.42974,12.5
125,2.39837,21.875
126,2.51572,7.8125
127,2.48868,10.9375
128,2.2563,17.1875
129,2.43473,17.1875
130,2.33145,17.1875
131,2.32179,21.875
132,2.50078,17.1875
133,2.5175,7.8125
134,2.38371,20.3125
135,2.48276,9.375
136,2.40062,15.625
137,2.44982,12.5
138,2.30493,20.3125
139,2.34855,18.75
140,2.38897,7.8125
141,2.5306,14.0625
142,2.46455,14.0625
143,2.41912,9.375
144,2.49947,15.625
145,2.45264,14.0625
146,2.48572,7.8125
147,2.60323,7.8125
148,2.42665,10.9375
149,2.39624,14.0625
150,2.40847,15.625
151,2.48855,15.625
152,2.37865,18.75
153,2.42477,15.625
154,2.33305,21.875
155,2.3715,18.75
156,2.41742,14.0625
157,2.32176,17.1875
158,2.32361,20.3125
159,2.507,15.625
160,2.41463,12.5
161,2.37354,26.5625
162,2.36375,15.625
163,2.39141,10.9375
164,2.38178,15.625
165,2.41177,20.3125
166,2.52029,14.0625
167,2.40238,10.9375
168,2.33353,17.1875
169,2.43043,10.9375
170,2.36383,18.75
171,2.28506,18.75
172,2.40608,18.75
173,2.40028,10.9375
174,2.41561,10.9375
175,2.48989,10.9375
176,2.3754,20.3125
177,2.48757,10.9375
178,2.51467,12.5
179,2.3925,18.75
180,2.39309,18.75
181,2.39001,14.0625
182,2.44499,15.625
183,2.35334,21.875
184,2.38925,14.0625
185,2.39675,14.0625
186,2.27376,21.875
187,2.36156,23.4375
188,2.30972,14.0625
189,2.50122,14.0625
190,2.39744,17.1875
191,2.32439,25.0
192,2.27935,21.875
193,2.38534,18.75
194,2.48181,9.375
195,2.44579,15.625
196,2.33863,20.3125
197,2.39068,14.0625
198,2.47603,12.5
199,2.38402,18.75
200,2.44516,9.375
201,2.55987,9.375
202,2.45539,18.75
203,2.41846,18.75
204,2.44544,14.0625
205,2.34714,20.3125
206,2.29061,23.4375
207,2.34303,14.0625
208,2.3778,18.75
209,2.35732,17.1875
210,2.46973,15.625
211,2.37245,12.5
212,2.42207,14.0625
213,2.47031,12.5
214,2.35571,14.0625
215,2.36151,18.75
216,2.3643,17.1875
217,2.45137,12.5
218,2.41958,15.625
219,2.41052,17.1875
220,2.19897,25.0
221,2.41807,15.625
222,2.34185,15.625
223,2.47384,17.1875
224,2.44489,12.5
225,2.47871,15.625
226,2.44465,14.0625
227,2.35863,17.1875
228,2.43582,14.0625
229,2.37166,18.75
230,2.39547,14.0625
231,2.50887,14.0625
232,2.43284,18.75
233,2.48919,7.8125
234,2.38291,17.1875
235,2.43237,14.0625
236,2.49319,15.625
237,2.38179,23.4375
238,2.50876,10.9375
239,2.40505,18.75
240,2.48555,12.5
241,2.4218,15.625
242,2.44246,15.625
243,2.4215,15.625
244,2.39541,20.3125
245,2.36956,21.875
246,2.45225,14.0625
247,2.39726,18.75
248,2.40925,20.3125
249,2.3442,17.1875
250,2.39002,10.9375
251,2.39672,20.3125
252,2.39284,20.3125
253,2.4093,18.75
254,2.36539,20.3125
255,2.41623,17.1875
256,2.48489,15.625
257,2.39173,15.625
258,2.35042,29.6875
259,2.43697,20.3125
260,2.38626,21.875
261,2.34481,18.75
262,2.41736,14.0625
263,2.36988,12.5
264,2.37003,15.625
265,2.43123,12.5
266,2.51845,7.8125
267,2.41856,20.3125
268,2.37298,17.1875
269,2.34693,26.5625
270,2.25208,28.125
271,2.35022,21.875
272,2.35128,17.1875
273,2.39144,17.1875
274,2.33813,20.3125
275,2.42824,12.5
276,2.41391,15.625
277,2.39609,15.625
278,2.41336,18.75
279,2.37073,15.625
280,2.42023,20.3125
281,2.46054,9.375
282,2.39061,20.3125
283,2.30536,25.0
284,2.36888,14.0625
285,2.40337,15.625
286,2.48079,15.625
287,2.38875,17.1875
288,2.34669,17.1875
289,2.40891,15.625
290,2.37731,15.625
291,2.38683,17.1875
292,2.45538,15.625
293,2.34718,17.1875
294,2.4265,14.0625
295,2.41972,17.1875
296,2.40583,9.375
297,2.39907,21.875
298,2.3842,21.875
299,2.46561,15.625
300,2.41292,21.875
301,2.51319,12.5
302,2.34428,18.75
303,2.37732,14.0625
304,2.45201,14.0625
305,2.33336,15.625
306,2.36968,21.875
307,2.40044,12.5
308,2.45982,7.8125
309,2.43143,12.5
310,2.41629,9.375
311,2.36503,12.5
312,2.40961,15.625
313,2.36999,18.75
314,2.33989,18.75
315,2.37698,12.5
316,2.36737,17.1875
317,2.4017,15.625
318,2.3832,15.625
319,2.44376,15.625
320,2.4421,17.1875
321,2.36034,21.875
322,2.35291,26.5625
323,2.43927,14.0625
324,2.29944,25.0
325,2.36293,17.1875
326,2.38799,14.0625
327,2.50835,17.1875
328,2.4157,20.3125
329,2.35083,15.625
330,2.36409,20.3125
331,2.40617,15.625
332,2.42291,10.9375
333,2.2673,20.3125
334,2.34919,14.0625
335,2.39054,17.1875
336,2.39316,14.0625
337,2.36017,17.1875
338,2.51514,15.625
339,2.39745,14.0625
340,2.31587,23.4375
341,2.42841,12.5
342,2.36202,15.625
343,2.40332,12.5
344,2.30921,18.75
345,2.41567,14.0625
346,2.3668,21.875
347,2.42966,14.0625
348,2.38352,14.0625
349,2.48347,6.25
350,2.43733,12.5
351,2.44364,15.625
352,2.39998,18.75
353,2.49815,14.0625
354,2.43732,15.625
355,2.39474,17.1875
356,2.51497,10.9375
357,2.47802,15.625
358,2.48119,17.1875
359,2.35908,14.0625
360,2.37307,14.0625
361,2.34669,18.75
362,2.36786,14.0625
363,2.46743,9.375
364,2.28307,15.625
365,2.31373,23.4375
366,2.33001,18.75
367,2.49087,12.5
