iteration,loss,accuracy
0,2.79872,12.5
1,2.55774,14.0625
2,2.48629,20.3125
3,2.48452,12.5
4,2.6087,17.1875
5,2.72054,9.375
6,2.45286,18.75
7,2.44099,25
8,2.5469,20.3125
9,2.37815,32.8125
10,2.4855,20.3125
11,2.51767,18.75
12,2.48297,18.75
13,2.5358,17.1875
14,2.47936,21.875
15,2.5067,14.0625
16,2.45307,23.4375
17,2.48447,21.875
18,2.42139,28.125
19,2.41155,23.4375
20,2.53873,12.5
21,2.51624,18.75
22,2.474,17.1875
23,2.38959,23.4375
24,2.49184,14.0625
25,2.43402,20.3125
26,2.5661,9.375
27,2.44111,20.3125
28,2.5049,18.75
29,2.46401,17.1875
30,2.46846,20.3125
31,2.42083,25
32,2.50448,14.0625
33,2.44171,18.75
34,2.45318,20.3125
35,2.49618,21.875
36,2.50745,18.75
37,2.39801,18.75
38,2.46051,21.875
39,2.52455,10.9375
40,2.38975,25
41,2.44041,14.0625
42,2.44924,18.75
43,2.47258,10.9375
44,2.43547,17.1875
45,2.42285,20.3125
46,2.33907,26.5625
47,2.4748,17.1875
48,2.43276,21.875
49,2.44274,15.625
50,2.52082,7.8125
51,2.36246,25
52,2.49205,18.75
53,2.49997,17.1875
54,2.44644,9.375
55,2.42085,20.3125
56,2.46536,20.3125
57,2.48683,17.1875
58,2.37652,26.5625
59,2.44239,15.625
60,2.41812,18.75
61,2.36041,28.125
62,2.39694,21.875
63,2.36244,23.4375
64,2.40674,21.875
65,2.36819,18.75
66,2.42797,21.875
67,2.30888,23.4375
68,2.36163,21.875
69,2.29438,26.5625
70,2.35759,20.3125
71,2.31018,20.3125
72,2.36978,18.75
73,2.38418,17.1875
74,2.36925,20.3125
75,2.22899,26.5625
76,2.29046,21.875
77,2.35917,25
78,2.29154,28.125
79,2.32906,31.25
80,2.33091,39.0625
81,2.24454,32.8125
82,2.21585,40.625
83,2.37569,20.3125
84,2.37705,18.75
85,2.28733,28.125
86,2.2798,29.6875
87,2.25758,28.125
88,2.18512,28.125
89,2.21953,34.375
90,2.27262,26.5625
91,2.17348,32.8125
92,2.07514,35.9375
93,2.12646,40.625
94,2.07708,34.375
95,2.32875,25
96,2.28841,26.5625
97,1.97739,35.9375
98,2.20006,29.6875
99,2.18478,29.6875
100,2.13694,35.9375
101,2.04641,45.3125
102,2.1183,26.5625
103,2.20853,20.3125
104,2.06346,45.3125
105,1.98842,40.625
106,2.15607,31.25
107,2.02573,42.1875
108,2.13241,42.1875
109,2.0303,43.75
110,1.96942,50
111,2.09529,29.6875
112,2.09995,29.6875
113,1.86513,50
114,2.04028,42.1875
115,1.98602,39.0625
116,1.92623,46.875
117,2.11937,31.25
118,2.06173,32.8125
119,1.76046,51.5625
120,2.05987,34.375
121,1.98616,40.625
122,1.87004,43.75
123,1.76847,45.3125
124,2.04783,28.125
125,1.80146,35.9375
126,2.03771,34.375
127,1.86517,35.9375
128,1.93706,48.4375
129,1.66295,56.25
130,1.91607,34.375
131,1.73504,46.875
132,1.7833,43.75
133,1.78234,43.75
134,1.63673,50
135,1.84119,45.3125
136,1.53129,50
137,1.67318,50
138,1.49807,57.8125
139,1.60731,56.25
140,1.54756,51.5625
141,1.78436,45.3125
142,1.48762,57.8125
143,1.61779,54.6875
144,1.4969,64.0625
145,1.63573,60.9375
146,1.61446,59.375
147,1.69771,54.6875
148,1.58117,51.5625
149,1.67266,51.5625
150,1.60556,50
151,1.61079,48.4375
152,1.51911,51.5625
153,1.56577,60.9375
154,1.6998,46.875
155,1.68957,51.5625
156,1.30561,71.875
157,1.46805,59.375
158,1.43941,57.8125
159,1.39872,60.9375
160,1.59794,51.5625
161,1.27789,64.0625
162,1.4153,60.9375
163,1.59175,54.6875
164,1.57535,54.6875
165,1.46615,56.25
166,1.42904,60.9375
167,1.59625,48.4375
168,1.48855,54.6875
169,1.21532,70.3125
170,1.5642,56.25
171,1.55451,62.5
172,1.22383,68.75
173,1.4336,59.375
174,1.28829,62.5
175,1.50121,56.25
176,1.41109,53.125
177,1.55786,53.125
178,1.35534,62.5
179,1.28112,62.5
180,1.54626,59.375
181,1.25208,68.75
182,1.55015,56.25
183,1.52501,45.3125
184,1.34797,59.375
185,1.18873,75
186,1.15417,71.875
187,1.24426,64.0625
188,1.2007,70.3125
189,1.37846,56.25
190,1.42632,59.375
191,1.1043,68.75
192,1.18968,64.0625
193,1.34199,59.375
194,1.17304,62.5
195,1.28712,65.625
196,1.17189,59.375
197,1.25181,67.1875
198,1.44031,65.625
199,1.07536,65.625
200,1.31706,75
201,1.37019,59.375
202,1.28132,59.375
203,1.27759,62.5
204,1.19594,62.5
205,1.16652,60.9375
206,1.31664,60.9375
207,1.3552,65.625
208,1.5735,46.875
209,1.18904,60.9375
210,1.4864,54.6875
211,0.998905,71.875
212,1.09724,68.75
213,1.18643,70.3125
214,1.50009,57.8125
215,1.14834,62.5
216,1.18978,70.3125
217,1.24492,73.4375
218,1.33134,68.75
219,1.03179,70.3125
220,1.17798,70.3125
221,1.53855,60.9375
222,1.28784,54.6875
223,1.24022,60.9375
224,0.929645,82.8125
225,1.26126,70.3125
