iteration,loss,accuracy
0,2.97264,14.0625
1,2.99287,16.40625
2,3.15022,11.71875
3,2.89488,10.15625
4,2.78593,17.96875
5,2.79266,21.09375
6,2.79675,17.96875
7,2.80342,17.1875
8,2.73074,23.4375
9,2.71258,25.0
10,2.76666,16.40625
11,2.68927,21.09375
12,2.76646,17.96875
13,2.76618,12.5
14,2.79651,16.40625
15,2.72214,13.28125
16,2.76736,17.1875
17,2.78955,16.40625
18,2.72773,16.40625
19,2.74788,12.5
20,2.68744,19.53125
21,2.69902,16.40625
22,2.69151,19.53125
23,2.64416,24.21875
24,2.6809,20.3125
25,2.74572,16.40625
26,2.73494,14.84375
27,2.66286,19.53125
28,2.74867,14.84375
29,2.71308,16.40625
30,2.63742,24.21875
31,2.65269,21.875
32,2.66711,21.875
33,2.65462,23.4375
34,2.65004,24.21875
35,2.62683,19.53125
36,2.69294,14.84375
37,2.63485,20.3125
38,2.67543,13.28125
39,2.62162,20.3125
40,2.65069,23.4375
41,2.60742,19.53125
42,2.64652,20.3125
43,2.64966,25.0
44,2.60494,24.21875
45,2.62732,26.5625
46,2.57385,25.0
47,2.65747,17.96875
48,2.60694,22.65625
49,2.68675,14.84375
50,2.62181,17.1875
51,2.66194,10.9375
52,2.61486,16.40625
53,2.62948,17.1875
54,2.61043,20.3125
55,2.61688,17.96875
56,2.58693,24.21875
57,2.56299,21.09375
58,2.58114,21.875
59,2.57234,27.34375
60,2.57282,25.0
61,2.54357,29.6875
62,2.56894,20.3125
63,2.62943,20.3125
64,2.45356,28.125
65,2.54576,24.21875
66,2.61981,19.53125
67,2.51212,25.78125
68,2.47921,26.5625
69,2.40949,29.6875
70,2.53091,21.09375
71,2.47518,25.78125
72,2.45967,23.4375
73,2.65124,11.71875
74,2.56524,17.1875
75,2.46337,24.21875
76,2.49199,32.03125
77,2.50761,28.90625
78,2.41446,37.5
79,2.47664,29.6875
80,2.41682,37.5
81,2.41155,28.125
82,2.4646,23.4375
83,2.43069,25.78125
84,2.33661,34.375
85,2.39572,31.25
86,2.29981,36.71875
87,2.39456,28.90625
88,2.37522,35.15625
89,2.3613,26.5625
90,2.32599,35.15625
91,2.31623,37.5
92,2.23281,34.375
93,2.24184,41.40625
94,2.10097,46.875
95,2.19173,43.75
96,2.13517,39.0625
97,2.27841,27.34375
98,2.09842,39.84375
99,2.02324,46.875
100,2.31073,36.71875
101,2.11094,42.96875
102,2.06949,42.96875
103,2.07718,46.09375
104,2.11028,45.3125
105,2.03277,48.4375
106,1.95451,46.09375
107,2.11832,42.96875
108,2.00601,44.53125
109,1.95304,43.75
110,1.95687,45.3125
111,1.92571,48.4375
112,1.89674,47.65625
113,2.0068,40.625
114,1.87154,53.90625
115,1.88155,53.125
116,1.81595,51.5625
117,1.88304,46.875
118,1.7441,56.25
119,1.8286,46.875
120,1.75778,55.46875
121,1.62663,57.03125
122,1.56816,58.59375
123,1.71444,61.71875
124,1.6444,58.59375
125,1.54269,65.625
126,1.52416,60.9375
127,1.73108,50.78125
128,1.57694,60.15625
129,1.72986,50.0
130,1.67489,53.125
131,1.51435,60.15625
132,1.55819,59.375
133,1.59736,60.9375
134,1.42219,65.625
135,1.41113,67.1875
136,1.45786,67.1875
137,1.44268,62.5
138,1.69004,58.59375
139,1.40602,62.5
140,1.59841,57.8125
141,1.53121,62.5
142,1.56535,62.5
143,1.60689,54.6875
144,1.32741,70.3125
145,1.31166,71.09375
146,1.39315,64.0625
147,1.35485,66.40625
148,1.51363,61.71875
149,1.34768,66.40625
150,1.47106,64.84375
151,1.38461,67.96875
152,1.40417,65.625
153,1.3448,67.96875
154,1.44576,64.0625
155,1.52318,60.15625
156,1.43785,66.40625
157,1.45644,61.71875
158,1.42087,65.625
159,1.30643,64.0625
160,1.57992,57.8125
161,1.21523,72.65625
162,1.30994,64.0625
163,1.42971,64.0625
164,1.55346,59.375
165,1.35848,65.625
166,1.34886,65.625
167,1.4776,64.84375
168,1.38936,64.84375
169,1.35014,66.40625
170,1.14091,72.65625
171,1.44472,58.59375
172,1.44465,66.40625
173,1.22697,73.4375
174,1.31987,65.625
175,1.12383,72.65625
176,1.22584,69.53125
177,1.13232,74.21875
178,1.31009,69.53125
179,1.42796,64.0625
180,1.27563,68.75
181,1.15591,74.21875
182,1.24201,71.875
183,1.22071,72.65625
184,0.944326,83.59375
185,1.20737,68.75
186,1.03186,79.6875
187,1.14673,70.3125
188,1.25482,67.96875
189,1.18304,78.125
190,1.14879,67.96875
191,1.20067,71.09375
192,1.0843,78.125
193,1.30133,72.65625
194,1.1829,72.65625
195,1.34367,66.40625
196,1.06547,75.0
197,1.28749,66.40625
198,0.928843,82.03125
199,1.24379,71.875
200,1.07491,74.21875
201,1.02142,76.5625
202,1.17204,76.5625
203,1.23064,71.09375
204,1.32257,63.28125
205,0.966434,77.34375
206,1.16756,68.75
207,1.04588,75.78125
208,1.30972,71.875
209,0.984896,75.0
210,1.15307,71.875
211,1.25641,67.1875
212,1.04438,75.78125
213,1.08021,75.0
214,1.04019,75.78125
215,1.04376,76.5625
216,1.04377,75.0
217,1.12228,79.6875
218,1.0421,75.0
219,1.20426,73.4375
220,1.0107,79.6875
221,1.02178,78.125
222,1.22849,74.21875
223,1.21279,70.3125
224,1.14571,75.0
225,1.05696,76.5625
226,1.0995,71.09375
227,1.02472,77.34375
228,0.797949,85.15625
229,1.19011,75.78125
230,1.04664,78.90625
231,1.04084,72.65625
232,0.904911,77.34375
233,1.15903,71.875
234,1.20146,68.75
235,1.0309,79.6875
236,1.08706,78.125
237,1.09378,72.65625
238,1.24097,70.3125
239,0.928534,79.6875
240,0.957122,78.90625
241,0.937538,81.25
242,0.95458,79.6875
243,0.915103,80.46875
244,1.0502,76.5625
245,1.00912,77.34375
246,0.916975,78.125
247,1.24701,78.125
248,1.01878,76.5625
249,1.08578,71.875
250,1.05088,75.0
251,1.27372,73.4375
252,1.04288,78.125
253,1.06614,75.78125
254,0.967144,79.6875
255,1.05157,75.78125
256,0.913518,82.03125
257,0.858139,81.25
258,1.03216,77.34375
259,1.17229,72.65625
260,0.857811,87.5
261,1.00371,79.6875
262,0.944256,80.46875
263,1.06242,75.78125
264,1.13786,75.78125
265,1.05044,75.78125
266,0.954774,82.03125
267,0.935184,78.125
268,0.886951,88.28125
269,1.14813,68.75
270,0.875721,79.6875
271,1.15354,72.65625
272,1.19864,72.65625
273,1.03953,75.78125
274,0.780434,84.375
275,0.772618,85.15625
276,0.860017,78.90625
277,1.29054,71.09375
278,0.969937,80.46875
279,0.944616,78.90625
280,1.18528,75.0
281,0.974972,75.78125
282,0.849913,82.03125
283,0.955689,76.5625
284,1.06772,78.90625
285,1.01139,78.125
286,1.08528,76.5625
287,0.953158,84.375
288,0.744584,87.5
289,0.98527,79.6875
290,0.908218,83.59375
291,0.988322,85.15625
292,0.898032,80.46875
293,0.842294,84.375
294,1.15188,76.5625
295,0.83107,85.9375
296,1.0204,74.21875
297,0.667887,87.5
298,0.813569,85.15625
299,0.858074,82.03125
300,0.792118,82.03125
301,1.02201,72.65625
302,0.896734,78.90625
303,1.00625,79.6875
304,0.928382,75.0
305,0.821416,85.9375
306,1.03548,78.125
307,0.98005,76.5625
308,1.2696,69.53125
309,1.12345,71.09375
310,0.931094,76.5625
311,0.965007,80.46875
312,0.831483,86.71875
313,0.984437,83.59375
314,0.822719,80.46875
315,0.787416,78.90625
316,0.944583,79.6875
317,1.10081,75.0
318,1.00559,78.125
319,0.75718,86.71875
320,0.985181,79.6875
321,0.832975,82.8125
322,0.896536,78.125
323,0.862184,85.15625
324,0.87487,77.34375
325,0.770801,85.9375
326,1.01486,77.34375
327,0.807047,81.25
328,1.02543,76.5625
329,0.948246,78.90625
330,0.885061,80.46875
331,0.801285,82.03125
332,0.854323,79.6875
333,0.924442,81.25
334,0.977795,75.0
335,0.931615,78.125
336,0.823613,85.15625
337,0.700747,86.71875
338,0.860621,78.90625
339,0.790577,85.9375
340,0.862127,83.59375
341,1.11011,82.8125
342,0.737933,85.9375
343,1.28318,72.65625
344,0.842596,82.03125
345,0.973477,78.125
346,1.15165,71.875
347,0.90756,82.03125
348,0.739537,86.71875
349,1.0874,78.90625
350,1.04873,76.5625
351,0.863692,82.03125
352,0.766533,82.8125
353,0.894454,82.03125
354,0.917448,83.59375
355,0.769798,85.9375
356,0.879635,82.03125
357,0.937703,75.78125
358,0.832964,77.34375
359,0.868115,83.59375
360,0.837723,79.6875
361,0.680922,87.5
362,0.809606,79.6875
363,0.89685,75.78125
364,0.90849,78.125
365,0.725321,82.8125
366,0.858494,79.6875
367,0.640584,87.5
368,0.863724,80.46875
369,0.887567,80.46875
370,0.951446,82.03125
371,0.928169,77.34375
372,0.883278,81.25
373,0.755284,85.9375
374,0.789188,83.59375
375,0.915611,77.34375
376,0.873437,82.8125
377,0.981676,75.78125
378,0.821309,79.6875
379,0.838545,84.375
380,0.791734,80.46875
381,0.983213,78.125
382,0.989658,78.125
383,0.767188,85.15625
384,0.705465,85.15625
385,0.794035,82.03125
386,0.91987,81.25
