iteration,loss,accuracy
0,2.57183,17.1875
1,2.8785,15.625
2,2.46528,12.5
3,2.44664,18.75
4,2.46815,12.5
5,2.58761,10.9375
6,2.43615,20.3125
7,2.37167,21.875
8,2.52762,14.0625
9,2.32839,29.6875
10,2.38614,20.3125
11,2.40531,20.3125
12,2.3478,17.1875
13,2.37427,20.3125
14,2.36817,20.3125
15,2.3414,15.625
16,2.35652,26.5625
17,2.3605,21.875
18,2.347,26.5625
19,2.33313,21.875
20,2.37125,14.0625
21,2.40636,17.1875
22,2.33539,15.625
23,2.24474,31.25
24,2.39746,15.625
25,2.34196,17.1875
26,2.50566,9.375
27,2.38755,20.3125
28,2.38337,17.1875
29,2.34828,23.4375
30,2.29569,23.4375
31,2.33226,28.125
32,2.38298,15.625
33,2.3183,20.3125
34,2.27361,21.875
35,2.37398,20.3125
36,2.33078,23.4375
37,2.28948,17.1875
38,2.33474,17.1875
39,2.43819,10.9375
40,2.24405,25
41,2.39309,12.5
42,2.31615,21.875
43,2.38529,12.5
44,2.3625,17.1875
45,2.289,21.875
46,2.22088,28.125
47,2.34149,18.75
48,2.22303,28.125
49,2.28062,21.875
50,2.33003,15.625
51,2.29133,25
52,2.40254,14.0625
53,2.2907,20.3125
54,2.3123,29.6875
55,2.25376,21.875
56,2.32262,18.75
57,2.27135,21.875
58,2.29218,18.75
59,2.34812,18.75
60,2.25707,21.875
61,2.15269,32.8125
62,2.23989,20.3125
63,2.16122,35.9375
64,2.23509,26.5625
65,2.32537,21.875
66,2.26861,20.3125
67,2.2073,23.4375
68,2.22359,20.3125
69,2.18097,29.6875
70,2.26844,25
71,2.11703,34.375
72,2.15539,25
73,2.22003,21.875
74,2.18847,31.25
75,2.02282,35.9375
76,2.1753,29.6875
77,2.15329,28.125
78,2.09386,31.25
79,2.11818,37.5
80,2.01133,39.0625
81,1.81359,45.3125
82,1.98088,37.5
83,2.00927,31.25
84,2.11336,20.3125
85,2.00835,37.5
86,1.90469,42.1875
87,2.02805,32.8125
88,1.96599,35.9375
89,1.9007,39.0625
90,1.95267,31.25
91,1.92432,39.0625
92,1.809,53.125
93,1.95579,39.0625
94,1.84322,39.0625
95,2.14119,26.5625
96,2.01816,39.0625
97,1.78123,43.75
98,1.88591,37.5
99,1.91917,45.3125
100,1.81611,46.875
101,1.98797,40.625
102,1.87731,32.8125
103,1.8582,42.1875
104,1.79336,45.3125
105,1.81536,40.625
106,2.10351,31.25
107,1.90496,43.75
108,1.80125,46.875
109,1.69311,45.3125
110,1.71211,56.25
111,1.8475,40.625
112,1.73388,42.1875
113,1.72724,54.6875
114,1.60949,54.6875
115,1.5807,51.5625
116,1.75409,43.75
117,1.91351,39.0625
118,1.71712,45.3125
119,1.4392,59.375
120,1.69824,50
121,1.57449,51.5625
122,1.46771,51.5625
123,1.69173,43.75
124,1.89206,34.375
125,1.56105,54.6875
126,1.70738,48.4375
127,1.46014,56.25
128,1.52257,51.5625
129,1.28103,67.1875
130,1.42252,53.125
131,1.48816,51.5625
132,1.56522,45.3125
133,1.54755,57.8125
134,1.35003,56.25
135,1.60751,48.4375
136,1.39005,59.375
137,1.38097,59.375
138,1.27256,68.75
139,1.35355,62.5
140,1.4349,54.6875
141,1.56008,53.125
142,1.2068,64.0625
143,1.29263,57.8125
144,1.5189,57.8125
145,1.7384,56.25
146,1.35189,53.125
147,1.52403,57.8125
148,1.5883,57.8125
149,1.47412,43.75
150,1.3303,57.8125
151,1.29175,62.5
152,1.33499,65.625
153,1.29096,60.9375
154,1.45056,57.8125
155,1.39053,54.6875
156,1.28151,56.25
157,1.20576,60.9375
158,1.09652,70.3125
159,1.16221,67.1875
160,1.43793,53.125
161,1.08032,68.75
162,1.22861,65.625
163,1.2081,60.9375
164,1.53717,54.6875
165,1.42971,51.5625
166,1.39291,57.8125
167,1.30131,59.375
168,1.42569,53.125
169,0.988846,68.75
170,1.23174,65.625
171,1.26768,64.0625
172,1.19672,75
173,1.17521,64.0625
174,1.10701,65.625
175,1.50461,53.125
176,1.10997,68.75
177,1.26659,59.375
178,1.35896,64.0625
179,1.25538,62.5
180,1.32629,59.375
181,1.08614,70.3125
182,1.38811,62.5
183,1.25753,59.375
184,1.10805,70.3125
185,1.24497,65.625
186,1.10685,71.875
187,1.35127,57.8125
188,0.995277,75
189,1.15199,73.4375
190,1.29382,60.9375
191,0.97024,79.6875
192,1.06327,73.4375
193,1.19688,68.75
194,1.13971,62.5
195,1.17839,65.625
196,0.96195,70.3125
197,1.16517,67.1875
198,1.32915,68.75
199,0.851033,68.75
200,1.27589,67.1875
201,1.14065,62.5
202,1.06919,75
203,1.07193,71.875
204,0.991216,70.3125
205,0.99157,65.625
206,1.08591,73.4375
207,1.2343,68.75
208,1.39144,50
209,1.06873,67.1875
210,1.43459,57.8125
211,0.82515,79.6875
212,0.990338,68.75
213,1.07254,75
214,1.28639,68.75
215,1.13602,68.75
216,1.18828,67.1875
217,1.13497,68.75
218,1.13608,60.9375
219,0.952841,68.75
220,0.93489,73.4375
221,1.5464,50
222,1.02666,70.3125
223,1.20476,68.75
224,0.774045,78.125
225,1.08376,71.875
226,1.02756,71.875
227,1.49682,64.0625
228,1.15511,65.625
229,1.19695,65.625
230,1.153,70.3125
231,0.940085,79.6875
232,0.905836,79.6875
233,1.16789,62.5
234,1.29471,62.5
235,0.959111,75
236,1.03347,71.875
237,0.955863,73.4375
238,1.09249,65.625
239,1.40064,62.5
240,1.28919,64.0625
241,0.97973,73.4375
242,1.00515,67.1875
243,1.18214,65.625
244,0.769382,84.375
245,0.921631,71.875
246,1.22698,64.0625
247,0.816352,76.5625
248,1.00404,67.1875
249,1.28102,65.625
250,1.18066,71.875
251,0.761052,78.125
252,0.799266,79.6875
253,0.841403,76.5625
254,0.925283,75
255,0.921498,75
256,1.12806,70.3125
257,0.700737,81.25
258,0.849889,81.25
259,1.11101,65.625
260,1.08663,68.75
261,0.998497,73.4375
262,1.20099,64.0625
263,1.05014,71.875
264,0.757225,82.8125
265,0.984617,70.3125
266,1.08029,65.625
267,1.18959,76.5625
268,0.904566,75
269,1.27375,57.8125
270,0.920209,71.875
271,0.953178,75
272,0.880466,79.6875
273,0.861984,78.125
274,0.643051,81.25
275,1.0185,73.4375
276,1.32472,68.75
277,1.27115,75
278,0.996457,67.1875
279,0.963641,71.875
280,0.981594,70.3125
281,0.931744,70.3125
282,0.975527,75
283,0.961812,67.1875
284,0.956487,78.125
285,0.939809,81.25
286,1.01654,70.3125
287,1.08649,68.75
288,0.877309,79.6875
289,0.771113,78.125
290,0.941953,71.875
291,0.858097,73.4375
292,0.81604,76.5625
293,0.701145,84.375
294,0.691228,79.6875
295,1.03046,71.875
296,0.830283,75
297,0.971881,75
298,0.924982,75
299,1.20772,64.0625
300,0.734006,82.8125
301,1.22165,65.625
302,0.66173,84.375
303,1.02641,71.875
304,1.09944,73.4375
305,0.767382,76.5625
