iteration,loss,accuracy
0,2.84427,7.8125
1,2.6329,7.8125
2,2.35414,20.3125
3,2.57265,10.9375
4,2.49393,12.5
5,2.48025,17.1875
6,2.32192,23.4375
7,2.3456,26.5625
8,2.39692,17.1875
9,2.24741,31.25
10,2.34558,23.4375
11,2.38901,18.75
12,2.40107,17.1875
13,2.39643,17.1875
14,2.4094,18.75
15,2.37843,12.5
16,2.32954,25
17,2.3522,23.4375
18,2.25904,26.5625
19,2.32931,23.4375
20,2.39374,12.5
21,2.38483,21.875
22,2.40272,15.625
23,2.27955,29.6875
24,2.42757,17.1875
25,2.2832,23.4375
26,2.44613,14.0625
27,2.28571,25
28,2.39504,20.3125
29,2.29801,18.75
30,2.32922,23.4375
31,2.30401,23.4375
32,2.41188,15.625
33,2.30499,25
34,2.2973,18.75
35,2.3844,21.875
36,2.34699,18.75
37,2.22941,20.3125
38,2.28002,15.625
39,2.39345,14.0625
40,2.1607,23.4375
41,2.30784,14.0625
42,2.313,20.3125
43,2.3094,15.625
44,2.29461,20.3125
45,2.23653,17.1875
46,2.22725,25
47,2.30258,26.5625
48,2.26005,25
49,2.29568,28.125
50,2.29631,23.4375
51,2.17794,32.8125
52,2.32233,18.75
53,2.28403,21.875
54,2.26254,28.125
55,2.13492,34.375
56,2.27719,26.5625
57,2.296,20.3125
58,2.15309,29.6875
59,2.30419,18.75
60,2.18747,25
61,2.12847,40.625
62,2.24271,26.5625
63,2.06326,28.125
64,2.14814,31.25
65,2.16615,28.125
66,2.16492,26.5625
67,2.1204,26.5625
68,2.19604,28.125
69,2.0603,31.25
70,2.11856,31.25
71,2.07297,31.25
72,2.07264,35.9375
73,2.18433,21.875
74,2.11817,32.8125
75,1.9354,42.1875
76,2.04718,29.6875
77,2.0706,29.6875
78,1.96691,35.9375
79,1.9552,40.625
80,1.92797,42.1875
81,1.83583,34.375
82,1.89599,40.625
83,2.03234,28.125
84,1.92246,37.5
85,1.85665,42.1875
86,1.82843,37.5
87,1.86761,42.1875
88,1.71286,46.875
89,1.73587,48.4375
90,1.96374,34.375
91,1.68162,48.4375
92,1.64059,51.5625
93,1.74886,50
94,1.64459,43.75
95,1.92686,35.9375
96,1.96118,40.625
97,1.4378,59.375
98,1.82221,40.625
99,1.68418,45.3125
100,1.76562,43.75
101,1.69414,46.875
102,1.67717,51.5625
103,1.75242,42.1875
104,1.59205,57.8125
105,1.53695,51.5625
106,1.88677,35.9375
107,1.62887,51.5625
108,1.79288,37.5
109,1.45631,57.8125
110,1.492,54.6875
111,1.42721,54.6875
112,1.6928,40.625
113,1.43543,57.8125
114,1.61051,48.4375
115,1.38353,65.625
116,1.45005,56.25
117,1.61602,50
118,1.50809,51.5625
119,1.42851,59.375
120,1.65911,40.625
121,1.40996,51.5625
122,1.32839,59.375
123,1.51182,45.3125
124,1.82822,42.1875
125,1.48254,59.375
126,1.66307,46.875
127,1.27552,64.0625
128,1.41727,54.6875
129,1.04681,76.5625
130,1.35188,57.8125
131,1.27774,65.625
132,1.36002,54.6875
133,1.52107,54.6875
134,1.18446,64.0625
135,1.60143,45.3125
