iteration,loss,accuracy
0,2.67446,10.9375
1,2.85647,7.8125
2,2.68449,12.5
3,2.7481,10.9375
4,2.62388,15.625
5,2.48549,14.0625
6,2.66635,10.9375
7,2.57983,4.6875
8,2.55769,17.1875
9,2.61671,7.8125
10,2.685,7.8125
11,2.6559,12.5
12,2.50078,15.625
13,2.55757,12.5
14,2.59036,12.5
15,2.46253,20.3125
16,2.55349,7.8125
17,2.60827,10.9375
18,2.65292,9.375
19,2.4923,14.0625
20,2.65026,9.375
21,2.48332,14.0625
22,2.37438,14.0625
23,2.46605,14.0625
24,2.55989,10.9375
25,2.54003,7.8125
26,2.56606,9.375
27,2.49899,10.9375
28,2.74177,10.9375
29,2.4903,17.1875
30,2.35311,17.1875
31,2.56709,12.5
32,2.56082,7.8125
33,2.40999,17.1875
34,2.55084,15.625
35,2.61219,10.9375
36,2.45815,17.1875
37,2.44863,17.1875
38,2.59817,6.25
39,2.58369,1.5625
40,2.43705,14.0625
41,2.52209,9.375
42,2.42599,17.1875
43,2.52175,17.1875
44,2.4766,14.0625
45,2.55904,7.8125
46,2.47932,21.875
47,2.69798,7.8125
48,2.6322,7.8125
49,2.54175,10.9375
50,2.54279,6.25
51,2.51445,12.5
52,2.46768,17.1875
53,2.57782,12.5
54,2.53012,9.375
55,2.56019,10.9375
56,2.61657,12.5
57,2.56734,10.9375
58,2.44816,15.625
59,2.42026,10.9375
60,2.58734,9.375
61,2.52182,12.5
62,2.51502,10.9375
63,2.5752,17.1875
64,2.51248,12.5
65,2.46915,15.625
66,2.56527,12.5
67,2.4386,17.1875
68,2.42031,17.1875
69,2.34507,14.0625
70,2.61885,17.1875
71,2.45202,6.25
72,2.50792,12.5
73,2.51195,15.625
74,2.43615,20.3125
75,2.37276,18.75
76,2.43937,14.0625
77,2.50414,12.5
78,2.41298,17.1875
79,2.44182,21.875
80,2.57133,20.3125
81,2.40215,25.0
82,2.46742,9.375
83,2.42338,17.1875
84,2.40812,17.1875
85,2.41608,23.4375
86,2.4713,14.0625
87,2.39349,18.75
88,2.4576,15.625
89,2.38104,25.0
90,2.53699,14.0625
91,2.36579,29.6875
92,2.44045,15.625
93,2.41355,17.1875
94,2.40489,12.5
95,2.52363,14.0625
96,2.45234,10.9375
97,2.40533,21.875
98,2.56612,12.5
99,2.41643,26.5625
100,2.43157,14.0625
101,2.54541,14.0625
102,2.45917,14.0625
103,2.48429,10.9375
104,2.3239,14.0625
105,2.39339,10.9375
106,2.45933,12.5
107,2.45975,17.1875
108,2.45493,20.3125
109,2.42599,15.625
110,2.44562,20.3125
111,2.49592,12.5
112,2.58055,12.5
113,2.3823,18.75
114,2.48529,14.0625
115,2.41337,12.5
116,2.44362,17.1875
117,2.44845,14.0625
118,2.44932,15.625
119,2.41686,17.1875
120,2.52055,10.9375
121,2.41567,18.75
122,2.46025,15.625
123,2.37644,21.875
124,2.55305,9.375
125,2.42059,21.875
126,2.50918,14.0625
127,2.55389,9.375
128,2.35892,21.875
129,2.46627,14.0625
130,2.45788,14.0625
131,2.36197,14.0625
132,2.49312,18.75
133,2.36323,17.1875
134,2.37837,17.1875
135,2.38671,15.625
136,2.41831,18.75
137,2.4701,17.1875
138,2.40685,20.3125
139,2.4372,15.625
140,2.41396,14.0625
141,2.49024,17.1875
142,2.36483,15.625
143,2.39942,15.625
144,2.38148,12.5
145,2.46226,17.1875
146,2.48597,7.8125
147,2.53991,12.5
148,2.5057,18.75
149,2.50637,14.0625
150,2.4652,18.75
151,2.4126,18.75
152,2.42979,15.625
153,2.50914,14.0625
154,2.39866,18.75
155,2.41326,14.0625
156,2.33677,21.875
157,2.49079,18.75
158,2.46552,6.25
159,2.52147,17.1875
160,2.45956,10.9375
161,2.32933,28.125
162,2.47628,17.1875
163,2.42375,20.3125
164,2.58127,15.625
165,2.40668,17.1875
166,2.46303,10.9375
167,2.33771,23.4375
168,2.46185,17.1875
169,2.43593,14.0625
170,2.42437,12.5
171,2.57233,9.375
172,2.36958,18.75
173,2.55153,9.375
174,2.44364,17.1875
175,2.48102,17.1875
176,2.37652,18.75
177,2.4375,10.9375
178,2.53968,18.75
179,2.47411,15.625
180,2.46368,21.875
181,2.52914,6.25
182,2.47119,9.375
183,2.37677,12.5
184,2.37084,18.75
185,2.34348,15.625
186,2.38611,21.875
187,2.54481,6.25
188,2.33762,9.375
189,2.44449,18.75
190,2.36337,21.875
191,2.4355,15.625
192,2.30197,25.0
193,2.38521,20.3125
194,2.58725,7.8125
195,2.55622,10.9375
