iteration,loss,accuracy
0,3.49798,3.125
1,2.98479,7.8125
2,2.63128,12.5
3,2.54245,9.375
4,2.61651,6.25
5,2.58977,12.5
6,2.41508,20.3125
7,2.53135,7.8125
8,2.50404,12.5
9,2.33714,14.0625
10,2.36564,28.125
11,2.41679,17.1875
12,2.36323,18.75
13,2.41302,15.625
14,2.41989,23.4375
15,2.38437,10.9375
16,2.36279,20.3125
17,2.39854,20.3125
18,2.28661,29.6875
19,2.36701,20.3125
20,2.36349,15.625
21,2.37296,18.75
22,2.36521,12.5
23,2.32662,25.0
24,2.4569,15.625
25,2.34086,23.4375
26,2.48819,6.25
27,2.33967,21.875
28,2.4186,15.625
29,2.35567,14.0625
30,2.3749,18.75
31,2.37838,26.5625
32,2.40219,18.75
33,2.30831,15.625
34,2.34699,20.3125
35,2.3776,23.4375
36,2.39212,18.75
37,2.30996,20.3125
38,2.39605,15.625
39,2.43115,12.5
40,2.31527,26.5625
41,2.36842,14.0625
42,2.39693,18.75
43,2.44427,15.625
44,2.35151,21.875
45,2.36673,17.1875
46,2.30359,25.0
47,2.41118,14.0625
48,2.30636,25.0
49,2.33018,17.1875
50,2.46238,15.625
51,2.37774,23.4375
52,2.43124,18.75
53,2.38869,15.625
54,2.37954,18.75
55,2.34043,21.875
56,2.38391,25.0
57,2.42978,18.75
58,2.35567,20.3125
59,2.37934,18.75
60,2.34957,17.1875
61,2.28329,28.125
62,2.38859,21.875
63,2.29925,25.0
64,2.35159,15.625
65,2.33914,23.4375
66,2.3259,17.1875
67,2.31651,20.3125
68,2.35467,23.4375
69,2.32522,25.0
70,2.37818,20.3125
71,2.31969,21.875
72,2.34441,20.3125
73,2.36018,15.625
74,2.35888,20.3125
75,2.26307,21.875
76,2.35474,14.0625
77,2.35371,15.625
78,2.31041,25.0
79,2.32415,23.4375
80,2.31457,20.3125
81,2.28065,28.125
82,2.27597,26.5625
83,2.35922,17.1875
84,2.34061,20.3125
85,2.29056,25.0
86,2.30787,26.5625
87,2.30878,25.0
88,2.30439,21.875
89,2.33045,29.6875
90,2.38523,18.75
91,2.3052,31.25
92,2.27077,23.4375
93,2.25452,23.4375
94,2.27253,25.0
95,2.41132,10.9375
96,2.36246,20.3125
97,2.23322,29.6875
98,2.37425,18.75
99,2.33443,23.4375
100,2.2436,23.4375
101,2.33234,18.75
102,2.31374,17.1875
103,2.38072,14.0625
104,2.33551,18.75
105,2.27859,20.3125
106,2.32993,21.875
107,2.2979,25.0
108,2.31098,25.0
109,2.23611,25.0
110,2.28224,25.0
111,2.32078,21.875
112,2.30304,21.875
113,2.25325,31.25
114,2.25733,28.125
115,2.25756,23.4375
116,2.25458,26.5625
117,2.25556,29.6875
118,2.3196,29.6875
119,2.20598,29.6875
120,2.32127,28.125
121,2.27988,25.0
122,2.21279,34.375
123,2.19982,31.25
124,2.33845,18.75
125,2.16986,18.75
126,2.25621,25.0
127,2.29527,17.1875
128,2.19158,31.25
129,2.14081,35.9375
130,2.28556,25.0
131,2.22071,29.6875
132,2.28316,20.3125
133,2.17682,34.375
134,2.05602,40.625
135,2.29736,23.4375
136,2.12635,34.375
137,2.10203,37.5
138,1.99908,43.75
139,2.10291,39.0625
140,2.17325,29.6875
141,2.26228,23.4375
142,2.15165,29.6875
143,2.13673,29.6875
144,2.13002,32.8125
145,2.11089,26.5625
